title,description,tokens
Abandoned Orders,"Our platform helps you identify and track abandoned orders, providing valuable information about potential lost sales. You can view the list of abandoned orders, analyze the reasons behind the abandonment, and take appropriate actions to recover these sales. CloudCart also offers automated email reminders to customers who have abandoned their carts, encouraging them to complete their purchases.",57
Invoices and Billing,"Our platform generates invoices automatically for each order, making it easy for merchants to manage their billing and accounting. Invoices can be customized with your company's logo and information, and can be sent to customers via email. CloudCart also supports multiple tax settings, enabling you to manage taxes based on your business location and applicable regulations.",56
Customer Management,"CloudCart's customer management system allows you to track and manage customer information efficiently. You can view customer profiles, order history, and communication history, helping you understand your customers better and cater to their needs. The platform also allows you to segment customers based on various criteria, such as order frequency, total spending, or location, enabling you to create targeted marketing campaigns and promotions.",63
Creating a Discounted Order,Select two products and apply a 50% discount to their price.,11
Calculating the Order Total,"The order total will include the unit price, manual discount, standard count applied VAT, and any other applicable fees.",19
Selecting a Payment Method,"Choose a payment method from the enabled payment providers. Note that if you select ""cash on delivery,"" the platform will not require you to send the order back to the customer because it is an offline payment method.",38
Checking and Updating the Shipping Address,"Verify the shipping address and correct it if necessary. If the address is incorrect, contact the customer to obtain the correct address.",22
Finalizing the Order,"Ensure that all the required information is filled out, such as payment method, shipping information, and customer address. Click ""Create Order"" to finalize the order and send it to the customer.",31
Fulfilling the Order,"Once the order is created, you can fulfill it as needed. The customer will receive an email with their order details, including the products purchased, discounts applied, tax, and other relevant information.",32
Creating an Order with a Different Payment Method,"Create a new order and select a different payment method, such as Braintree. Define the customer's address and select a shipping provider. You can either create the order or create the order and send a link to the customer. In this example, we choose the second option, which creates the order and sends a link to the customer for them to complete the payment.",64
Reviewing Order Status and Changing Status,"Access the order view to see the order ID, date, time, and status. You can change the order status by clicking on it, but note that some status changes may not be possible depending on the current status and shipping method. Changing the order status will automatically send an email update to the customer.",54
Navigating Between Orders,Use the arrows next to the order ID to quickly navigate between orders.,13
Managing Order Details,"Within an order, you can view and manage the products, variations, unit prices, quantities, and line totals. You can also apply discounts, manually or automatically, and handle product returns by removing the product from the order.",36
Additional Order Options,"Other available options include printing an invoice, printing a packaging slip or shipment slip, and sending the customer a unique link to their order. Depending on the order status, some options may not be available.",35
Viewing Google Maps,"Within the platform, you can view Google Maps to easily locate customers based on their addresses. By clicking on the map image within the customer's profile, you will be navigated directly to the customer's location, allowing you to visualize the exact address where your customer is located. This feature makes it more convenient for merchants to understand the geographic distribution of their customer base.",64
Customer Group Details,"The platform provides an overview of each customer's group information, such as their name, email address, and other relevant details. As a merchant, you can edit some of these details, like updating the customer's email address or name. Furthermore, you have the option to choose whether or not to notify the customer about any changes made to their profile. This level of control ensures that you maintain accurate and up-to-date customer records, enabling better communication and customer service.",78
Order and Volume Information,"Merchants can view comprehensive information about completed orders, their volume, and the total number of orders for each customer. This functionality helps you keep track of customers' purchasing history and identify trends or patterns among different customer groups. By understanding your customers' buying behavior, you can tailor marketing strategies and promotions to encourage repeat business and foster customer loyalty.",59
Shipping Address and Printing,"The shipping address for each order is displayed on the platform, and you can print the order information, including the address, by clicking on the printer icon. This feature is useful when you need to create shipping labels or waybills for your packages, streamlining the shipping process and reducing the potential for errors. By having a straightforward method to generate and print shipping labels, you can save time and effort in fulfilling orders, ultimately improving your overall order management efficiency.",80
Changing Customer Address,The platform allows you to easily change a customer's address or phone number without navigating away from their profile. This functionality is essential when a customer requests a change of address or when you need to update their contact information for any reason. Keeping customer contact details accurate and up-to-date is crucial for ensuring seamless communication and effective order management.,60
Billing Address,"Merchants can add a billing address to an order if it remains unpaid. However, if the order is already paid, you will not be able to add more addresses. Billing addresses work similarly to shipping addresses, enabling you to store and manage accurate billing information for invoicing and financial tracking purposes. This feature ensures you have all the necessary information for processing payments and maintaining accurate financial records.",68
Fraud Protection,"The platform offers built-in fraud protection by comparing the customer's IP address with their shipping address. This process helps to identify potential discrepancies that may indicate fraudulent activity. If a discrepancy is detected, the system will send a notification to the merchant, alerting them to the potential fraud risk. This added layer of security helps merchants protect their business from potential losses and maintain trust with their customers.",68
Orders,"The Orders section allows you to view all completed orders with the order volume, the amount, and the total number of orders for each customer. The source information is recorded, which shows the referral source for the customer. This information is useful for monitoring and analyzing the source of your orders, such as Facebook, Google, or other partners.",58
Payment,"You can change the payment method for an order if the customer's payment did not go through and they prefer to pay with PayPal, for example. If you select the PayPal option, you can copy the link and send it back to the customer to make another payment for the order. Electronic payments have a ""View More"" button that allows you to see the status of the payment.",68
Fulfillment,"The Fulfillment feature allows you to fulfill your orders with a simple click of a button or by changing the provider. You can fulfill the order, recalculate changes, and generate a waybill with the information about the selected service, street, order number, weight, package name, items or packages, payer, and special delivery requirements. You can also track the order and print the waybill on a label printer. If you are not satisfied with the information, you can mark the order as unfulfilled.",82
Accessing the Discount Menu,"To access this functionality, navigate to the marketing dashboard. From here, go to the discount menu and click ""Add a brand new discount"".",23
Creating a Single Discount Code,"To create a single discount code, enter a name for internal purposes and choose between ""Create a new discount code"" and ""Generate a series of discount codes"". For a single code, click ""Create a new discount code"" and enter the desired conditions, such as discounts for specific product categories, free shipping, or discount limits. These conditions can be applied simultaneously with a single promo code. Once you're done, click ""Add discount"".",71
Applying the Discount Code to Storefront,"After creating the discount code, go to the storefront and test the discount code on eligible products. You should see the discounts and conditions applied accordingly, such as free shipping or percentage-based discounts on specific product categories.",37
Generating a Series of Discount Codes,"To generate a series of discount codes, click ""Generate a series of discount codes"". Specify the range for your promo codes, starting and ending with a number. You can generate up to 5000 promo codes at once. Include a prefix for the codes, with only the number differing between each. The same functionality limitations, ranges, regions, and customer groups apply, as well as discount conditions. Once you're done, click ""Generate"" to create the promo codes.",75
Contextual Marketing and Dynamic Promo Codes,"Creating dynamic promo codes for contextual marketing based on user behavior. This functionality is only available for users with Enterprise and Enterprise Plus subscription plans. To use dynamic promo codes, you need to create a segment with conditions related to products, categories, vendors, or brands. Once your segment is ready, navigate to campaigns and create an automated campaign, selecting the segment you created earlier. In the email template, insert a dynamic discount code variable and configure the settings for the discount, such as percentage or amount off. The dynamic promo code will only apply to products that meet the conditions of your segment. Test the promo code by applying it to a product in your online store and ensure that it works correctly. Remember that the dynamic discount code is not a link, but a code that users must manually apply during checkout. A future update will introduce a dynamic promo code link that automatically applies the discount to users' carts. This powerful feature enables targeted and relevant marketing, and we look forward to your feedback and its successful implementation.",180
Security Features,"CloudCart invests time in improving the platform from a security perspective. Some of the features include a complex system that monitors usage and can block, delay, or slow down users based on specific signals. This helps to protect your website from attackers and hackers.",44
Infrastructure,"CloudCart's infrastructure is built upon Google's Kubernetes project, which allows for constant changes and updates to the servers. Your website's files do not live on a specific server but are instead spread across different servers, providing an additional layer of security.",41
User Monitoring and Bots,"The platform has a system to monitor usability and user behavior. Using AI technology, it can identify and ban potentially harmful bots. While good bots (like Google and Bing) follow strict conventions, bad bots can be blocked or slowed down to prevent damage to your website.",46
Tokenized System,"CloudCart uses a tokenized system that allows users to access specific areas of your website, similar to giving keys to specific rooms in your home. This system can be used to block unwanted traffic from your website, ensuring that only real humans can access your online store.",47
Checkout Security and Conversion Rates,"The checkout process in CloudCart is designed to be simple, secure, and efficient. It is not accessible by bots, and the AI system ensures that only real humans can make purchases. This not only improves security but also increases the conversion rate, making your business more successful.",47
Fraud Protection,"CloudCart's built-in fraud protection engine monitors every order, checking IP addresses and other factors to determine if the purchase is legitimate. If an IP address is flagged as potentially problematic, the system will notify you to take further action.",39
Blocking IP Addresses,"The platform allows you to block specific IP addresses, but instead of completely blocking access to your website, the system cancels orders made from those addresses. This helps to prevent malicious users from finding workarounds and continuing to cause issues on your website.",43
Accessing CloudCart Reviews Settings,"To access the CloudCart Reviews settings, go to Applications, search for CloudCart Reviews, and click on it. Once installed on your store, you will see the settings below. We will review each setting and explain how they work.",38
Activating CloudCart Reviews,The first option is to activate the entire application. Enable this to begin using CloudCart Reviews.,16
Displaying User Ratings,The second option is to show the user ratings on the product listing page. Enable this to display the ratings alongside each product.,23
Hiding Reviews without Ratings,The third option is to hide the stars of the reviews if there are no reviews yet for a particular product. Enable this to prevent showing empty ratings.,28
Manually Approving Reviews,The fourth option is to manually approve user-generated reviews. Enable this to require manual action for every single review before publishing it on your store.,25
Automatically Approving Responses,"The fifth option is to automatically approve responses. Responses are when someone leaves a review for a product, and someone else might want to respond to that review. This allows for conversations and dialogues below your products, showcasing different points of view from your customers. Enable this option to automatically approve all responses.",53
Automatically Approving Reviews,"The sixth option is to automatically approve reviews. If this option is disabled, all reviews will be published automatically. Alternatively, you can enable a threshold for automatic approval, such as approving all reviews above a certain star rating. This can help you scale up your business and save time.",49
Showing Overall Product Rating,"The seventh option is to show only the overall product rating, instead of displaying individual customer ratings. This can be useful in some cases, as it provides a general overview of the product's rating.",34
Allowing Replies to Reviews,The eighth option is to allow logged-in users to reply to specific product reviews. This can encourage further engagement and discussions among your customers. Note that only users with accounts in your store will be able to reply to reviews if this option is enabled.,45
Sorting Reviews,"The final option is to choose how you would like to sort reviews, either by date or by rating. Sorting by date displays the newest reviews first, while sorting by rating shows the highest-rated reviews first.",36
Show Only Overall Product Rating Option,"The next option is to show only the overall product rating. If you select this option and enter a specific product, you will see not only the stars but only the overall rating with the stars. However, it is not a good idea to hide the customer product reviews, and it's better to show them.",55
Sorting Option,"The sorting option can sort reviews by highest, lowest, latest, and oldest reviews. You can also filter reviews by a specific number of stars.",24
Product Detail Page,"The product detail page displays the stars, the number of reviews, and a graphical representation of the reviews. The stars can be used as filters, allowing you to filter only the reviews with a specific number of stars. The product ratings are hidden on the listing pages.",47
Reviews Section,"The reviews section displays a listing of all reviews given by customers who purchased the product. The reviews can be filtered by rating or searched by a keyword related to the review. Only customers who purchased the product and did not cancel the order can give reviews. CloudCart verifies all reviews to ensure that they are not fake. However, there is an option to manually add reviews, but it is up to the merchant to decide whether to add fake reviews or not. The review page shows the product, the customer's name, the date and time of the review, the review title and text, and a verified order icon.",109
Marketing Section,"CloudCart provides two widgets for displaying product reviews and asking for feedback. The widget can be enabled or disabled, sorted by date or rating, and filtered by the number of stars, product category, product manufacturer, product, or collection. The reviews can be displayed as a slider or as a list with limited characters. The widget also has options to show rating and comments, rating only, or comments only. CloudCart's review application includes built-in JSON-LD Rich Snippet, which allows Google and other search engines to index your products with their ratings, making them visible in search results.",96
VAT Number Validation Feature,"The VAT number validation page is integrated into every single checkout at CloudCart stores. This allows for on-the-fly validation of VAT numbers added during the checkout process. To enable this feature, go to your checkout and cart settings, and under the ""Additional Field Settings"" section, select ""Validate VAT number from VIES service.""",52
How it Works,"Once the VAT validation option is enabled, the platform will call the VIES service with the VAT number and try to validate it. If the number is incorrect, the system will show a notification to the user. To demonstrate this, first, add a VAT billing address, then add an incorrect VAT number and save. The system will invalidate the information. If you re-enter the correct VAT number, the system will validate it using the VIES service.",76
Applicability,"This VAT validation feature works for all European Union member states that have a VAT system in place. It ensures that the data provided by customers is validated by European authorities, giving merchants confidence in the accuracy of the information they receive.",42
Importance of the Checkout Process,"The checkout process, is one of the biggest benefits of using CloudCart. The checkout process is the holy grail of e-commerce, and having a smooth, well-designed checkout means more conversions, higher conversion rates, and increased average order value.",38
The Complexity of the Checkout Process,"The checkout process is not just a single page; it is a complex feature and a whole ecosystem combining different plugins, scenarios, and mechanisms for converting customers. Modern e-commerce websites need not only great software but also a great-looking, clear design with clear patterns and functions to keep the customer on track and push them to finalize the order. The checkout process should also connect with different third parties to enable merchants to increase their average order value (AOV) or conversion rate (CR).",83
CloudCart's Conversion Rate Advantage,"CloudCart's average conversion rate is 2.5 times higher than the industry average. This means that, by using CloudCart's checkout process, merchants can increase their conversion rate by up to 2.5 times. This can lead to more customers and increased revenue with the same advertising budget and channels. One of the best conversion rates we have seen on CloudCart is 19.8%.",60
How CloudCart Increases Conversion Rates,"To increase conversion rates, we have invested thousands of man-hours in research, A/B testing, and development. We have worked with UX designers and implemented world-proven concepts while considering local market specifics. We also take inspiration from big players like Amazon, eBay, Rakuten, Google, and Shopify to provide the best checkout process possible.",52
A/B Testing and Continuous Improvement,"Whenever we release a new feature or functionality for the checkout process, we conduct A/B testing to ensure it benefits our merchants. Our goal is to make our merchants successful, and the easiest way to do that is by providing them with the best technology.",45
Setting up Taxes and Fees,"In this guide, we will discuss how to set up taxes, fees, and other options applicable for taxes and VAT in different locations. The complexity of ensuring your online business is fully operational in other countries will be addressed through a more advanced tax module.",45
Creating Complex Tax Scenarios,"The tax module allows you to create complex tax scenarios based on different variations. Depending on the market, locality, and business type, taxes or fees may or may not be applicable. It is essential to understand the specific requirements and features behind taxes for each case.",46
Setting up Taxes in Your Store,"To set up taxes in your store, navigate to Settings and then Taxes. Under this menu, you will find two buttons: one for adding a tax and the other for adding a fee. Fees are different from taxes, as they can be applied at the checkout for various purposes, such as packaging or delivery fees. Taxes, on the other hand, are charged by the store on behalf of the authorities and are not retained by the business.",77
Understanding VAT and Pricing,"In many countries, Value Added Tax (VAT) is the primary tax applied to end customers. It is crucial to understand VAT regulations and how they differ across countries. Most businesses are required to display prices inclusive of VAT for end customers. Ensure that product prices are set accordingly, and the tax module is configured to include or exclude VAT as required.",61
Adding VAT for a Specific Country,"To add VAT for a specific country, first, delete any existing tax settings and then click on the ""Add Tax"" button. Input the tax rate (e.g., 20% for Bulgaria) and select whether the product prices include tax or not. Configure the tax settings based on the customer's location and business type (B2B or B2C).",54
Tax Calculation and Shipping Costs,"Determine when the tax will be applied - before or after shipping costs. If the merchant charges customers for shipping costs, taxes should be calculated after the shipping cost. If customers pay the shipping cost directly to the delivery provider, taxes should be calculated before the shipping cost.",48
EU VAT Regulations,"When selling within the European Union (EU), CloudCart has integrated all EU countries, simplifying the tax configuration process. When selling goods in your home country, apply the local VAT rate to all customers. When selling goods to another EU country, apply VAT only to end customers, as businesses pay VAT in their home country. The tax module is built to handle these scenarios automatically, ensuring compliance with EU VAT regulations.",70
Texts for VAT Application,"The texts for VAT application are left empty as they differ for different countries within the EU and for customers outside the EU. The VAT rates can be different depending on the country, region, or product category.",37
Different Taxes for Different Categories,"Some countries have different tax rates for different product categories. For example, bread might have a 0% VAT, while children's goods may have a lower VAT rate than the standard rate. This allows merchants to apply different VAT rates for specific product categories.",43
VAT Overrides by Category and Region,"CloudCart allows you to create VAT overrides based on product category and region. For example, you can set a lower VAT rate for children's goods in a specific region or city. This way, only customers in that particular location will receive the discounted VAT rate.",45
VAT Application in Multiple Countries,"If you operate in multiple countries, the platform will determine the customer's location and apply the appropriate VAT rate accordingly. This includes different rules for applying VAT to customers and companies, as well as applying VAT before or after shipping costs.",41
VAT Overrides by Region,"If you want to apply different VAT rates to specific regions without defining a product category, you can do so using VAT overrides by region. This allows you to apply different tax rates for customers in certain locations.",38
VAT for Companies and End Customers,"VAT rules may differ for companies and end customers. For example, a Bulgarian company might charge VAT to end customers but not to other companies. CloudCart ensures that VAT is applied accurately and keeps the platform compliant with relevant authorities.",40
Adding VAT Numbers,"If a company adds their VAT number and it is validated by the platform, the VAT will be removed from their order. If the VAT number is not present or not validated, the system will not remove the VAT. This ensures accuracy and compliance with regulations.",46
Fees,"Fees work similarly to taxes, but they can be added as a percentage or a flat fee. Fees can be added for various reasons, such as packaging, delivery, or handling. To add fees, go to taxes and then add fees.",40
Benefits of CloudCart Features,"In the past, online store owners had to manage all the necessary information regarding shipping their packages by hand. But today, CloudCart offers many integrated features, such as real-time shipping cost estimations and real-time payment.",35
Pre-built Shipping Methods,"Every CloudCart store comes with pre-built shipping methods based on price, weight, and a combination of price and weight. Shipping methods can also be assigned to specific regions, payment providers, and product categories.",33
Carrier Integrations Overview,"CloudCart is constantly working on integrating different shipping providers. Currently, there are around seven or eight fully integrated shipping providers. These integrations include real-time shipping cost estimation, waybill generation, email notifications, and more.",33
DHL Integration,"To integrate DHL, go to applications and search for DHL. Enter your credentials and customize the provider's name, logo, and other settings. The integration supports various service types and allows you to create waybills, send tracking information, and more.",39
Other Carrier Integrations,"CloudCart also integrates with various country-specific carriers such as Speedy, Econt, Fan Courier, Cargus, ACS, and DPD. These integrations offer similar features to the DHL integration. Check the help center for more information about each integration.",36
Order Fulfillment and Email Templates,"When fulfilling orders, you can generate waybills and send tracking information to customers using email templates. The templates include order status updates, delivery dates, and tracking codes.",27
Creating and Managing Waybills,"When working with orders, you can fulfill products with the click of a button, which will provide a live shipping cost estimation. You can change various details and generate waybills, which can be printed directly from the store.",38
Quick Order Explanation,The quick order option is not an actual order but rather a way for customers to express their interest in a specific product. This feature only works for individual products and cannot be used to purchase multiple products at once.,40
Enabling Quick Order,"To enable the quick order feature, go to Apps > All Apps and search for the card icon with a timer. Install the application to your store, and you will see additional configuration options.",34
Advanced Features,"The quick order app uses innovative technology to gather information from a customer's IP address. This can help determine their country and possibly their city without asking for that information. You can also require a phone number, first and last name, and email address from the customer.",47
Tracking and Events,"You can define your own personal events for the quick order, such as when a customer clicks the button but doesn't finalize the order. You can also track separate events for regular checkout and quick order options.",37
Text and Styling,"Customize the text that appears on the fast order page and after the customer clicks the ""Purchase"" or ""Make Order"" button. You can also play with styling options and colors for the quick order button.",35
Order Submission,"When a customer submits a quick order, they will need to provide their email address, phone number, and accept terms and marketing policies. This information goes directly to the merchant's administrative area.",32
Order Processing,"In the Orders menu, a quick order is indicated by a small couch or chronometer icon. Quick orders don't have complete addresses, so you will need to contact the customer for their address before preparing the order for shipment.",39
Fulfilling Quick Orders,"After obtaining and validating the customer's address, you can select a shipping provider and fulfill the product. Information can then be sent to the customer for tracking purposes.",28
Payment Options,"Quick orders primarily work for offline payments like cash on delivery or bank wire transfers. For online payments, you will need to send the customer a link to finalize the order.",31
Disadvantages,"Quick orders can increase merchants' workload since they must manually handle shipping and billing addresses, payment preferences, and more. While it allows merchants to accept requests faster, it also increases manual work.",32
The Checkout Process,We invested significant time in providing a seamless checkout experience that includes monitoring and analyzing thousands of orders and customer behavior to create a comprehensive solution for the checkout and cart settings. We constantly add new features and functionalities to make the process more adaptable and flexible for customers.,49
Abandoned Cart Reminder,"The abandoned cart reminder is an advanced feature that is a competitive advantage for CloudCart. It reminds customers about items in their checkout process but not completed as an order. Enabling this feature will send transactional emails to remind customers about their abandoned carts. You can choose which type of reminder to send (email, messenger, or both). The timing of the reminder is crucial and can be set between 30 and 180 minutes.",73
Shipping Address for Digital Products,"In rare cases, you may want to ask for a shipping address for digital products to be covered by seller protection. This can help prevent disputes, refund requests, and chargebacks, as you'll have evidence of delivering the order.",38
Automatically Select Shipping Option,"If there is only one shipping option, this setting will automatically select it, reducing the number of steps in the checkout process.",22
Minimum Order Amount,"Setting a minimum order amount can help increase your average order value (AOV). Calculate your current AOV and increase it by 15% to determine the minimum order value. Keep in mind that this setting should have a relation between the pricing of your product catalog. The minimum order amount is an intrusive way to increase AOV, so ensure it is not set too high.",64
Maximum Product Quantity,"This feature allows you to set a maximum count of one product that can be added to the cart. For example, you can limit your customers to purchase no more than three pieces of a specific product.",37
Maximum Cart Quantity per Customer,"This feature sets a maximum number of products in general, not per product, that can be added to the cart. For example, if you set a limit of one product, customers will not be allowed to purchase more than one product. This feature may not be popular because it restricts sales, but can be useful when you have a limited number of products or want to implement specific marketing strategies.",70
Email Notifications for Low Product Quantities,"This setting allows you to receive email notifications when the total quantity of a product decreases to a certain threshold. By enabling this feature, there is no need to set up individual product thresholds for sending notification emails.",38
Order Status and Product Quantity Decrease,"It is crucial to understand how setting up the right configuration for order status (pending, paid, or fulfilled) will impact product quantity decrease and other processes like sending email notifications to customers for order processing. Your choice of payment methods (online or offline) can also affect how product quantities are decreased based on order status. Make sure to stick with your current settings and avoid changing them if you have open orders.",72
Default Shipping Type,"You can choose a default shipping type (e.g., pick up from store or shipping address) that will be automatically selected and opened for your customers during the checkout process. This can help guide customers and make the process smoother.",39
Default Shipping Provider,"If you have multiple shipping providers, you can select a default shipping provider that will be automatically selected during the checkout process. This can also help make the process faster and smoother for your customers.",35
Default Payment Provider,"You can choose a default payment provider that will be automatically selected during the checkout process, making it faster and smoother for your customers.",24
Unique Order Number,"Instead of using a system ID, it is advisable to use a string of numbers and letters as a unique order number. This can prevent competitors from tracking your progress and order numbers, and it also ensures a unique identifier for each order without any gaps.",46
Payment Microservice Architecture,"We built payments as a microservice, which means there is a separate payment gateway, a different database, different codes, and different servers that accept requests from third-party providers like payment providers. This independency allows us to scale the platform and guarantee our merchants a 100% working process and environment. Thanks to this microservice architecture, we can accept currently more than 1,500 transactions per minute.",64
CloudCart's Transaction Volume,"To date, CloudCart processes around 45-100 transactions per minute. In the past year, we have processed more than three million transactions, which represent around €250 million in transactions.",28
Payment Provider Integration Framework,"We have developed an innovative framework that enables our developers to integrate new payment solutions in no more than 24-48 hours. If you have a customer that is interested in integrating CloudCart with a payment solution that is not yet presented, the cost of the integration will be split between CloudCart and the customer, with each party covering 50% of the estimated cost.",63
Current Payment Providers,"To see the payment providers currently integrated into CloudCart, go to Settings and Payments. Some major providers include PayPal, Braintree, Mollie, Stripe, Paymypols, Keepa Touch, Feed Bank, Borica, Paysafe, Raiffeisen Bank, Connectix, MobilePay, EveryPay, and SeePay. We also offer cash on delivery, pay at store, vouchers, and bank wire options.",50
Invoicing Basics,"Invoicing in CloudCart allows you to set up and automate invoicing for your e-commerce store. Invoices are sent to customers automatically via email as attachments. Additionally, the invoicing module also includes credit notes, which are useful when refunding money to customers who return goods.",44
Invoice Formats,"Invoices in CloudCart can be output in two formats: PDF and CSV (comma-separated values). The PDF format is sent to customers via email, while the CSV format can be downloaded from the invoicing section of the orders menu. The PDF format is used to send invoice documents to customers, while the CSV format is useful for sending order and payment information to your accounting team.",65
Invoice Settings,"To access the invoicing settings, go to the settings menu and find the invoicing option. From there, you can activate the invoicing feature, set up invoice issuing conditions, and configure the invoice number padding, prefix, and suffix. Customize your invoice numbers to meet the requirements of your government or tax authority.",51
Business Credentials and Credit Notes,"In the invoicing settings, you can also enter your business credentials, such as your business name, VAT registration number, and contact information. For credit notes, set up the invoice number padding and select the payment method used for refunds. It's important to stick with the actual payment method used for making the order and payment.",55
Customizing Invoices and Packing Slips,"CloudCart allows you to add a watermark text to your invoices and customize the design of your invoices, packing slips, and credit notes using provided variables. Download the template, make your desired changes, and paste the modified code back into the platform. This allows you to create a unique brand identity for your invoices and packing slips. If you wish to revert to the default template, simply delete the custom code.",71
Invoicing Automation,"The invoicing module in CloudCart automates the invoicing process for each order, saving you time in managing orders and invoices. Invoices are sent to customers via email, and you can easily download the CSV file with invoices to send to your accountant. This automation is essential for any e-commerce business.",50
Geo Zones and Google Maps,"Geo zones in CloudCart are based on Google Maps technology. Although it is possible to use geo zones without Google Maps, integrating Google Maps into your store will provide a more comprehensive feature set. To integrate Google Maps, follow the instructions in our help center article. Without Google Maps integration, geo zones will only provide country-level detail.",57
Creating a Geo Zone,"To create a geo zone, first determine your store's needs and the area it serves. Geo zones are based on customer geo coordinates. Add a new geo zone and name it accordingly. Once created, you can configure the zone with different operators, such as ""includes"" or ""includes only,"" to specify which countries, cities, or neighborhoods are included in the zone. This will help prepare your store to interact with customers from the specified locations.",74
Understanding Operators,"When configuring a geo zone, it is important to understand the difference between ""includes"" and ""includes only"" operators. ""Includes"" means that the zone includes everything from the selected area, while ""includes only"" means that the zone works exclusively for the specific record defined. There are also other operators like ""includes all locations except"" which allows you to exclude specific locations from the geo zone.",64
Configuring Geo Zones,"After setting up your geo zones, you can configure them to include or exclude specific countries, cities, or neighborhoods. For example, if you want to create a geo zone for the European Union, you would need to add each EU country individually. Once your geo zones are configured, they will help determine pricing, discounts, and shipping costs for customers based on their location.",63
Using Geo Zones for Taxes and Shipping,"Geo zones can be used to apply different taxes and shipping rates to customers based on their location. For example, you can create a tax rate that is only applicable to customers in Bulgaria or a shipping rate that only applies to customers within the European Union. This allows you to customize your store's pricing and shipping options based on the specific needs and regulations of the regions your store serves.",71
Setting up Special Discounts,"To create a special discount, navigate to the ""Discount"" section. Only discounts applied at checkout can have customer region restrictions. By defining a GEO zone, you can specify which customers from certain regions are eligible for the discount.",38
Checkout Discounts,"At checkout, you can offer various types of discounts, such as promo codes, countdown discount timers, and container discounts. These can be tailored to specific GEO zones, meaning that only customers from certain regions will be eligible for the discount. To create a discount for a specific GEO zone, select the region from the available options.",56
Localization and Working Hours,"By using GEO zones, you can estimate delivery times for specific regions and customers. For example, you can integrate with applications like Working Hours to provide accurate delivery estimates based on customer location. If you need more information on this, refer to the help center.",45
GEO Zones and Platform Adaptation,"When you use GEO zones, your platform will adapt to the customer's address, adjusting pricing, discounts, and shipping costs accordingly. This allows you to create a personalized shopping experience for different groups of customers based on their location.",38
Creating and Managing GEO Zones,"You can create an unlimited number of GEO zones and define unlimited local entities for each GEO zone. However, it's important to note that sometimes Google Maps data may not be complete or consistent due to various factors, such as local authorities not providing sufficient data. To address this issue, you can use the geo polygon feature.",57
Geo Polygon Feature,"The geo polygon feature allows you to define specific blocks on Google Maps by inputting coordinates. This can be particularly useful if you want to focus on a specific street or region. To create a geo polygon, search for your desired location, click on the map to draw the polygon, and then assign a name for easy identification. You can then assign the geo polygon to a GEO zone in the ""GEO Zones"" section. This feature provides total control over your store's localization, allowing you to cater to specific areas or even individual houses, as well as the entire world.",100
Shipping Methods and Geo Zones,"By assigning a geo polygon to a GEO zone, you can restrict shipping methods to specific locations. For example, a shipping method could be visible only for addresses within the defined geo polygon. This level of control extends to discounts, pricing, and shipping costs, enabling you to create a highly personalized shopping experience based on customer location.",57
Applying Discounts Based on GEO Zones,"To apply special discounts based on customer location, you can create discounts that are only applicable at checkout. These discounts will have the ability to define the customer region and can be applied to specific GEO zones, such as specific countries or regions. Examples of checkout discounts include promo codes and countdown discount timers.",54
Creating a Discount for a Specific GEO Zone,"To create a discount for a specific GEO zone, start by defining the zone in the admin panel. For example, you can create a discount that is applicable only for customers in Bulgaria or the EU. This allows you to offer different discounts to customers based on their location.",49
Estimating Delivery Time Based on GEO Zones,"You can estimate delivery time for specific regions and customers using the ""working hours"" functionality in CloudCart. This feature is useful for calculating delivery times based on the customer's location. If you do not have this functionality enabled, you can find more information in the help center.",47
How GEO Zones Work at Checkout,"When a customer goes to checkout, the platform adapts the pricing, discounts, and shipping costs based on their location. For example, if a customer from Bulgaria is eligible for a discount and shipping method specific to their GEO zone, these options will be displayed at checkout. If the customer's address changes to a different country, the discount and shipping options may be removed or updated accordingly.",66
Creating and Using Geo Polygons,"Geo polygons allow you to define specific areas on Google Maps by inputting coordinates. This feature is useful when the data from Google Maps is incomplete or inconsistent. By creating a geo polygon, you can specify a particular street or area where you want to offer discounts, shipping options, or different pricing. To use a geo polygon, simply draw the area on the map, assign it to a GEO zone, and apply it to the relevant features such as discounts, shipping, or pricing.",83
Mixing and Matching GEO Zones and Geo Polygons,"You can mix and match GEO zones and geo polygons in your store's settings. For example, you can include a specific country and a geo polygon within that country, or you can use a geo polygon exclusively. This allows for greater customization of your store's features and offerings based on customer location.",52
Controlling Localization with Google Maps Integration,"Integrating with Google Maps, Google Places, geo polygons, and geo zones gives you complete control over your store's localization. You can work with specific areas or houses, or you can work with the entire world, offering various discounts, shipping options, and pricing based on customer location. This level of control is a key advantage of CloudCart's localization features.",58
Summary,"Geo zones and geo polygons in CloudCart allow you to define specific settings for your store based on customer location. By integrating Google Maps and creating tailored geo zones, you can offer customized pricing, tax rates, and shipping options for customers in different regions. This guide has provided an overview of how to create and configure geo zones, as well as how to apply them to various aspects of your store. Use this knowledge to enhance your store's localization features.",80
The Power of the Checkout Process,The checkout process in CloudCart is powerful and fast due to the integration of various geolocation services. We will reveal some features under the hood that make the checkout process efficient and user-friendly.,33
Geolocation Service Integrations,"CloudCart integrates with several geolocation services such as Google Maps, MaxMind IP geolocation database, GeoNames organization, and Google Places. This integration allows the platform to accurately locate customers and populate their information into the data fields.",36
